atis_flight||||||||||||||||||||||||||||||||||||||||||||||baltimore||||||||||||||||||round trip|||||||||||dallas||||	i want to fly from baltimore to dallas round trip
atis_airfare||||||||||||||||||||less|||||||||||||||||1000 dollars|||||||||pittsburgh||||||||||||||||||round trip|||||||||||philadelphia||||	round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars
atis_flight||||||||fourteenth|june||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||baltimore||||	show me the flights arriving on baltimore on june fourteenth
atis_flight|||||||||||||||9 pm|by||||||||||||||||||||||||||||||san francisco||||||||||||||||||||||indianapolis|||||||washington||||	what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm
atis_airline||||||||||||||||||||||||||||||||||||||||||||||boston|||||||||||||||||||||||||||||washington||dc||	which airlines fly from boston to washington dc via other cities
atis_flight||||||||||||||||||||||||||||||||||||||||||||||charlotte|||||dinner|||||||||||||||||st. louis|||||||las vegas||||	i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out
atis_flight||||||||||||||||||||||||||fourth|september|||||||||||||||||||pittsburgh|||||||||||||||||||||||||||||atlanta||||	okay and then from pittsburgh i'd like to travel to atlanta on september fourth
atis_flight||||||||||||||||||||||||||||||||||||||||||||||philadelphia|||||||||||||||||||||||||||||cincinnati||||	show me all the flights from philadelphia to cincinnati
atis_flight|||us air|||||||||||||||||||||||||||||afternoon||||||||||||||indianapolis|||||||||||||||||||||||||||||san diego||||	okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available
atis_flight|||||||||||||||||||||||||tuesday|||||||||noon|after|||||||||||phoenix|||||||||||||||||||||||||||||st. paul|||minnesota|	on tuesday what flights leave phoenix to st. paul minnesota and leave after noon
atis_flight|||american|||||||||||||||||||||||||||||morning||||||||||||||chicago|||||||||||||||||||||||||||||los angeles||||	american flights from chicago to los angeles morning
atis_ground_service||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||san francisco airport|||||	what types of ground transportation are there to san francisco airport
atis_flight||||||||||||||||||||||||next||||||||||||||||||||||nashville||||||||or|||||||||||||||||||||tacoma||||	in the next two days i want to fly from nashville to san jose or to tacoma
atis_flight|||continental airlines|||||||||||||||||||||||||||||||||||||||||||denver|||||||||||||||||||||||||||||san francisco||||	does continental airlines fly from denver to san francisco
atis_flight||||||||||||||||||||||||||||||||||||||||||||||chicago|||||||||||||||||||||||||||||milwaukee||||	chicago to milwaukee
atis_quantity||twa||||||||||||||||business class|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	how many flights does twa have in business class
atis_flight||||||||||||||||||first class||||||||||||||||||||||||||||dallas|||||||||||||||||||||||||||||baltimore||||	show me the flights from dallas to baltimore in first class
atis_airfare||||||||||||||||||||least expensive||||||||||||||||||||||||||boston||||||||||||||||||one way|||||||||||philadelphia||||	i'd like to find the least expensive one way fare from boston to philadelphia
atis_quantity|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	how many booking classes are there
atis_flight|||||||||||||||||||||||||wednesday|nineteenth||||||||||||||||||||tacoma|||||||||||||||||||||||||||||san jose||||	what are the flights from tacoma to san jose on wednesday the nineteenth
atis_flight||||||||||||||||||||||||||fifth|july|||||||7 pm|after|||||||||||pittsburgh|||||||||||||||||||||||||||||san francisco||||	what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco
atis_flight|||||||||||||||||||||||||||||||||||||||||||||general mitchell international||||||||||||||||||||||||||||||||||	please list all the arriving and departing flights from general mitchell international
atis_city|||||||||||||||||denver||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	what time zone is denver in
atis_ground_service|||||||||||||||||baltimore||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	show me ground transportation in boston and in baltimore
atis_flight||||||||||||||||||||||||||||||||||||||||first||||||baltimore|||meal||||||||||||||||||||||||||boston||||	i want to find the first flight from baltimore to boston that serves a meal
atis_flight||||||||||||||||||||||||||||||||||||||||||||||seattle|||||||||||||||||||||||||||||salt lake city||||	from seattle to salt lake city
atis_flight||||||||||||||||||||||||||||||||||||economy||||||||||dallas|||||||||||||||||||||||||||||baltimore||||	can you show me the flights from dallas to baltimore with economy fares
atis_flight||||||||||||||||||||||||||||||||||||||||||||||phoenix|||||||||||||||||||||||||||||||||	what flights leave from phoenix
atis_flight||||||||||||||||||||||||||||||||||||||||||||||pittsburgh|||||||||||||||||||||||||||||denver||||	what are the flights from pittsburgh to denver
atis_flight|||us air|||||||||||||||||||||||||||||||noon|after|||||||||||miami|||||||||||||||||||||||||||||cleveland||||	show flights leaving miami to cleveland on us air that leave after noon
atis_flight||||||||||||||||||||||||||||||||||||||||||||||dallas|||||||||||||||||||||||||||||baltimore||||	please give me a list of all the flights between dallas and baltimore and their cost
