PlayMusic|allergic|westbam|||||||||||||||||||||||||||||||google music||||||	listen to westbam alumb allergic on google music
AddToPlaylist||||||||||step to me|||||||||||||||50 clásicos||||||||||||||	add step to me to the 50 clásicos playlist 
RateBook|||6||||||||||||||||||current|textbook|||||||1||||||||||	i give this current textbook a rating value of 1 and a best rating of 6
PlayMusic|||||||||||||||||song|||||||||||||||||||||little robin redbreast|	play the song little robin redbreast
AddToPlaylist||iris dement|||||||||||||||||||||||this is selena|my|||||||||||||	please add iris dement to my playlist this is selena
AddToPlaylist||slimm cutta calhoun|||||||||||||||||||||||this is prince|my|||||||||||||	add slimm cutta calhoun to my this is prince playlist 
PlayMusic|||||||||||||||||||||||||||||||||||||||seventies	i want to listen to seventies music 
PlayMusic||brian epstein|||||||||||||||chant|||||||||||||||||popular|||||	play a popular chant by brian epstein
SearchScreeningEvent|||||||||||||||fish story||||||||||||||||||||||||	find fish story 
BookRestaurant||||||||||||||||||||||||3||||||||||||mt|||	book a spot for 3 in mt
GetWeather||||jetmore||||||||||||||||||||||||||||||||massachusetts|1 hour and 1 second from now||	i need a forecast for jetmore massachusetts in 1 hour and 1 second from now
RateBook||||||||||||||||||||series|this||||||||5||||||||||	rate this series a 5
SearchScreeningEvent||||||||||||||||films||||||movie times|||||||||||||in the area||||	give me a list of movie times for films in the area 
PlayMusic||adele|||||||||||||||||||||||||||||||||||||eighties	can you play me some eighties music by adele
GetWeather|||||||||||||stanislaus national forest||||||||||||||||||||||far||in nine months||	please let me know the weather forcast of stanislaus national forest far in nine months
BookRestaurant||||||||||||||||||||||||eight|||||||restaurant||||||in six years||	book a restaurant for eight people in six years  
BookRestaurant||||fork mountain|||||||||||||||||||valarie mari and i||||||||restaurant|||||sc|||	i need to book a restaurant in fork mountain sc for valarie mari and i
AddToPlaylist||||||||||here comes santa claus|||||||||||||||confidence boost||||||||||||||	add to playlist confidence boost here comes santa claus
BookRestaurant|||||||||||||||||||||||||||||||restaurant|||||sc|sixteen o clock||	book a restaurant at sixteen o clock in sc
AddToPlaylist|||||||||||||||||artist||||||||spotlight on country 2016||||||||||||||	add another artist to the spotlight on country 2016 playlist 
SearchScreeningEvent|||||||||||||||cage without a key|||movie house|||||||||||||||||||||	find a movie house showing cage without a key
AddToPlaylist||||||||||sugarolly days|||||||||||||||your favorite slaughterhouse|my|||||||||||||	add sugarolly days to my list your favorite slaughterhouse
SearchCreativeWork|||||||||||||||||||creatures of light and darkness|||picture|||||||||||||||||	show me the picture creatures of light and darkness
SearchCreativeWork|||||||||||||||||||the adventures of cookie & cream||||||||||||||||||||	search for the adventures of cookie & cream
AddToPlaylist|||||||||||||||||track||||||||global funk|my|||||||||||||	add this track to my global funk
SearchScreeningEvent||||||||||||||||animated movies||movie house|||||||||||||||||nearest||||	find animated movies nearest at a movie house
SearchCreativeWork|||||||||||||||||||hell house|||song|||||||||||||||||	play hell house song
RateBook|||||||||||||||||||||this|novel||||||stars|5||||||||||	give this novel 5 stars
SearchScreeningEvent||||||||||||||||animated movies|||||||||||||||||||in the neighbourhood||||	find me showtimes for animated movies in the neighbourhood 
SearchScreeningEvent||||||||||||||||||||||movie times|||||||||||||||||	find movie times
PlayMusic||chicane|||||||||||||||||||||||||||||||deezer|top-20 best|||||	play the top-20 best chicane songs on deezer
RateBook|||||||||||||||||||||current|textbook||||||points|4||||||||||	i want to give this current textbook 4 points 
AddToPlaylist||||||||||manuelita|||||||||||||||indiespensables|my|||||||||||||	add manuelita to my indiespensables playlist
SearchScreeningEvent||||||||||||||douglas theatre company||||||||movie schedules|||||||||||||||||	show movie schedules for douglas theatre company
SearchCreativeWork|||||||||||||||||||onion sportsdome|||show|||||||||||||||||	i d like to see the show onion sportsdome 
BookRestaurant|||||||||||||||||||||||||||||||bistro|||popular||oh|||	i d like to go to the popular bistro in oh
GetWeather|||||||||current spot||||||||||||||||||||||||||||the day after tomorrow||	what s the weather in my current spot the day after tomorrow
PlayMusic|||||||||||||||||||||||||the realest down south||||||||||||||	play playlist the realest down south
AddToPlaylist|||||||||||||||||artist||||||||soul revived|gretchen s|||||||||||||	add this artist to gretchen s soul revived playlist
SearchCreativeWork|||||||||||||||||||victory march|||video game|||||||||||||||||	find a video game called victory march
SearchCreativeWork|||||||||||||||||||industry|||novel|||||||||||||||||	find a novel called industry 
BookRestaurant|||||||||||||||||||||||||||||||taverna|vichyssoise|||within walking distance|oh|||	book a taverna that serves vichyssoise within walking distance in oh
SearchScreeningEvent|||||||||||||||seed of chucky|||||||schedule|||||||||||||||||	let me see the movie schedule for seed of chucky
PlayMusic||mj cole|||||||||||||||chant||||||||||||||||||||||	play a chant by mj cole
GetWeather||||frewen|||venezuela||||||||||||||||||||||||||||||||	what is the weather like in the city of frewen in the country of venezuela
AddToPlaylist|||||||||||||||||song||||||||in the name of blues|my|||||||||||||	put this song on my playlist in the name of blues 
GetWeather||||||colder||||||||||||||||||||||||||||||ohio|||	will it be colder in ohio
RateBook|||||||||||||||||||||this|album|||||||1||||||||||	rate this album a 1
SearchScreeningEvent||||||||||||||||films|||||||||||||||||||in the area||||	in the area find some films
SearchScreeningEvent|||||||||||||||the young swordsman|||cinema||||times|||||||||||||||||	what times will the young swordsman be showing at a local cinema
BookRestaurant||||||||||||||||||||||||one|||||||brasserie||||||||	book a brasserie for one
PlayMusic||chris ledoux||||||||||||||||||||||||||||||||||||all of your toys|	play all of your toys by chris ledoux
PlayMusic||joel hastings|||||||||||||||melody||||||||||||||||||||||	i want to hear a joel hastings melody 
BookRestaurant|||||||||||||||||||||||||||our college||||restaurant||||not far||||	i want to book a restaurant not far from our college 
RateBook|||6||||||||||||||||lord of the shadows|||||||||stars|four||||||||||	rate in stars as a 6 for lord of the shadows which gets a four
AddToPlaylist||||||||||rak biszewilo|||||||||||||||jazz|my|||||||||||||	add rak biszewilo to my playlist named jazz
RateBook|||6||||||||||||||||||current|book|||||||1||||||||||	rate my current book 1 out of 6
GetWeather|||||||||||||upper klamath national wildlife refuge||||||||||||||||||||||not far||||	what is the weather not far from upper klamath national wildlife refuge
AddToPlaylist||||||||||falling upstairs|||||||||||||||chill out||||||||||||||	add falling upstairs to the playlist named chill out
GetWeather|||||storm||||||||charles pinckney national historic site||||||||||||||||||||||||||	will it storm in charles pinckney national historic site
PlayMusic||||||||||||techno|||||||||||||||||||||lastfm||||||	play techno on lastfm
AddToPlaylist|||||||||||||||||album||||||||indie español||||||||||||||	add the entire album into indie español
RateBook|||6||||||||||||||||||following|textbook|||||||3||||||||||	for the textbook out of 6 possible i give the following one a 3 
SearchScreeningEvent||||||||||||||star theatres||||||||movie schedule|||||||||||||||||	show me the movie schedule for star theatres
SearchCreativeWork|||||||||||||||||||dancing girl|||movie|||||||||||||||||	please find the movie dancing girl
RateBook|||6||||||||||||||||||this|book|||||||0||||||||||	rate this book 0 out of 6
SearchScreeningEvent||||||||||||||caribbean cinemas|happy ghost iii||||||||||||||||||||||||	is happy ghost iii at caribbean cinemas
PlayMusic||yanni|||||||||||||||theme||||||||||||||||vimeo||||||	play theme by yanni on vimeo
RateBook|||||||||||||||||||||current|novel|||||||3||||||||||	rate the current novel a 3 
PlayMusic||graham mcpherson|||||||||||||||track||||||||||||||||zvooq||||||	can you pull up a track on zvooq by graham mcpherson
SearchCreativeWork|||||||||||||||||||resurrection of evil||||||||||||||||||||	find resurrection of evil 
SearchCreativeWork|||||||||||||||||||playstation官方杂志|||song|||||||||||||||||	find playstation官方杂志 a song
RateBook|||6||||||||||||||||||current|essay|||||||2||||||||||	rate the current essay 2 out of 6
AddToPlaylist|||||||||||||||||album||||||||dishwashing||||||||||||||	add this album to the playlist called dishwashing
SearchCreativeWork|||||||||||||||||||young miss holmes||||||||||||||||||||	find young miss holmes
RateBook|||6||||||||||||||||christianity not mysterious|||||||||points|1||||||||||	i give christianity not mysterious 1 out of 6 points 
BookRestaurant|||||||gabon|||||||||||||||||seven||||||venetian theatre|||||||||	i d like to go to the venetian theatre in gabon party of seven
GetWeather|||||rain||||current location||||||||||||||||||||||||||nearby||0 o clock||	is it supposed to rain nearby my current location at 0 o clock
RateBook|||6||||||||||||||||||current|album||||||stars|zero||||||||||	give zero / 6 stars to the current album
AddToPlaylist||playa fly|||||||||||||||||||||||2010 decade|my|||||||||||||	put playa fly onto my 2010 decade playlist
SearchCreativeWork|||||||||||||||||||fool for love|||painting|||||||||||||||||	show me the painting called fool for love 
RateBook|||||||||||||||||||what the dog saw||||||||||two||||||||||	rate what the dog saw a two
SearchCreativeWork|||||||||||||||||||a stroll in the pork|||video game|||||||||||||||||	find a video game called a stroll in the pork
AddToPlaylist||bret mckenzie|||||||||||||||||||||||pop commute|my|||||||||||||	add bret mckenzie to my pop commute playlist
GetWeather||||||||||||||||||||||||||||||||||||new jersey|three months from now||	what is the weather supposed to be like in new jersey three months from now
SearchCreativeWork|||||||||||||||||||international journal of bilingualism|||song|||||||||||||||||	find the song called international journal of bilingualism
SearchScreeningEvent||||||||||||||goodrich quality theaters||films|||||||||||||||||||||||	what films are playing at goodrich quality theaters
