Airport|(X (X (X)))|chain|2|Aarhus|leaderName|Jacob Bundsgaard|Aarhus Airport|cityServed|Aarhus	Aarhus airport serves the city of Aarhus whose leader is Jacob Bundsgaard.
Airport|(X (X (X)))|chain|2|Aarhus|leaderName|Jacob Bundsgaard|Aarhus Airport|cityServed|Aarhus	Aarhus airport serves the city of Aarhus where Jacob Bundsgaard is a leader.
Airport|(X (X (X)))|chain|2|Aarhus|leaderName|Jacob Bundsgaard|Aarhus Airport|cityServed|Aarhus	Aarhus airport serves the city of Aarhus, its leader is Jacob Bundsgaard.
Airport|(X (X (X)))|chain|2|Aarhus Airport|location|Tirstrup|Tirstrup|country|Denmark	Aarhus Airport is located in Tirstrup, Denmark.
Airport|(X (X (X)))|chain|2|Aarhus Airport|location|Tirstrup|Tirstrup|country|Denmark	The location of Aarhus Airport is Tirstrup, in Denmark.
Airport|(X (X (X)))|chain|2|Aarhus Airport|location|Tirstrup|Tirstrup|isPartOf|Central Denmark Region	Aarhus Airport is located in Tirstrup which is part of the Central Denmark region.
Airport|(X (X (X)))|chain|2|Aarhus Airport|location|Tirstrup|Tirstrup|isPartOf|Central Denmark Region	The location of Aarhus Airport is Tirstrup, part of Central Denmark.
Airport|(X (X (X)))|chain|2|Aarhus Airport|location|Tirstrup|Tirstrup|isPartOf|Central Denmark Region	Aarhus Airport is located in Tirstrup, part of the Central Denmark region.
Airport|(X (X (X)))|chain|2|Aarhus Airport|location|Tirstrup|Tirstrup|isPartOf|Denmark	The location of Aarhus Airport is Tirstrup Denmark.
Airport|(X (X (X)))|chain|2|Aarhus Airport|location|Tirstrup|Tirstrup|isPartOf|Denmark	Aarhus Airport is located in Tirstrup, Denmark.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aarhus Lufthavn A/S|Aarhus Airport|runwayLength|2702.0	Aarhus Lufthavn A/S is the operation organisation of Aarhus Airport which has a runway length of 2702.0.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aarhus Lufthavn A/S|Aarhus Airport|runwayLength|2702.0	Aarhus Airport is operated by Aarhus Lufthavn A/S, and its runway length is 2702.0.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aarhus Lufthavn A/S|Aarhus Airport|runwayLength|2702.0	Aarhus Airport is operated by Aarhus Lufthavn A/S and has a runway length of 2702.0.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayLength|2702.0	Aarhus Airport is operated by Aktieselskab and the runway length is 2702.0.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayLength|2702.0	The Aarhus Airport, with a runway length of 2702, is operated by Aktieselskab.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayLength|2702.0	The Aarhus airport, which has a runway length of 2702.0, is operated by Aktieselskab.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayName|10L/28R	Aarhus Airport is operated by the Aktieselskab organisation and the runway name is 10L/28R.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayName|10L/28R	Aktieselskab operates Aarhus Airport which has the runway known as 10L/28R.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayName|10L/28R	Aktieselskab operates Aarhus Airport, and its runway is called 10L/28R.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayName|10R/28L	Aktieselskab is the operating organisation for Aarhus Airport which has the runway name 10R/28L.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayName|10R/28L	Aktieselskab is the operating organisation for Aarhus Airport, where the runway name is 10R/28L.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|operatingOrganisation|Aktieselskab|Aarhus Airport|runwayName|10R/28L	The runway name at Aarhus Airport, operated by Aktieselskab, is "10R/28L".
Airport|(X (X) (X))|sibling|2|Aarhus Airport|runwayLength|2776.0|Aarhus Airport|operatingOrganisation|Aarhus Lufthavn A/S	Aarhus Airport is operated by Aarhus Lufthavn A/S and the length of the runway is 2776.0.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|runwayLength|2776.0|Aarhus Airport|operatingOrganisation|Aarhus Lufthavn A/S	Aarhus Lufthavn A/S is the operation organisation of Aarhus Airport which has a runway with the length of 2776.0 metres.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|runwayLength|2776.0|Aarhus Airport|operatingOrganisation|Aktieselskab	Aarhus Airport, operated by Aktieselskab, has a runway length of 2776.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|runwayLength|2776.0|Aarhus Airport|operatingOrganisation|Aktieselskab	Aktieselskab is the operating organisation for Aarhus Airport which has a runway length of 2776.0 metres.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|runwayLength|2776.0|Aarhus Airport|operatingOrganisation|Aktieselskab	The Aktieselskab organisation operates Aarhus Airport, which has a runway length of 2776.0.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|runwayLength|2777.0|Aarhus Airport|operatingOrganisation|Aktieselskab	Aarhus Airport is operated by the Aktieselskab organisation and has a runway length of 2777.0 meters.
Airport|(X (X) (X))|sibling|2|Aarhus Airport|runwayLength|2777.0|Aarhus Airport|operatingOrganisation|Aktieselskab	Aktieselskab is the operating organisation for Aarhus Airport which has a runway with the length of 2777.0 meters.
